,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'3 STRIPEY MICE FELTCRAFT'}),frozenset({'FELTCRAFT 6 FLOWER FRIENDS'}),0.018857929865451848,0.04396652187731751,0.010011653776883145,0.5308988764044944,12.075071070800055,1.0,0.009182536190892838,2.0380114862974548,0.9348133979383306,0.18956870611835508,0.5093256310263766,0.3793048598889942
1,frozenset({'FELTCRAFT 6 FLOWER FRIENDS'}),frozenset({'3 STRIPEY MICE FELTCRAFT'}),0.04396652187731751,0.018857929865451848,0.010011653776883145,0.227710843373494,12.075071070800057,1.0,0.009182536190892838,1.2704335697530031,0.9593646806634397,0.18956870611835508,0.2128671472413789,0.3793048598889942
2,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'6 RIBBONS RUSTIC CHARM'}),0.09741498040046614,0.039569869689585764,0.01048839919482996,0.10766721044045677,2.7209392218138455,1.0,0.006633701114569963,1.0763138389036269,0.7007426812286253,0.08291457286432162,0.07090296170619066,0.1863637257021561
3,frozenset({'6 RIBBONS RUSTIC CHARM'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.039569869689585764,0.09741498040046614,0.01048839919482996,0.2650602409638554,2.720939221813846,1.0,0.006633701114569963,1.2281074856846115,0.6585381140287102,0.08291457286432162,0.1857390239401175,0.1863637257021561
4,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'6 RIBBONS RUSTIC CHARM'}),0.16972136878906663,0.039569869689585764,0.013031041423879649,0.07677902621722847,1.9403406384589545,1.0,0.006315188977358154,1.040303629991402,0.5836914946921576,0.06639676113360324,0.03874217952285252,0.20304814764676685
5,frozenset({'6 RIBBONS RUSTIC CHARM'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.039569869689585764,0.16972136878906663,0.013031041423879649,0.3293172690763052,1.9403406384589545,1.0,0.006315188977358154,1.2379603543204933,0.5045932650049572,0.06639676113360324,0.19221968901508804,0.20304814764676685
6,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.017268778472295795,0.016686089628138574,0.011018116325881979,0.6380368098159509,38.23764728795403,1.0,0.010729967940524781,2.716613006620566,0.9909604396789066,0.48036951501154734,0.6318945696118904,0.6491771350667056
7,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.016686089628138574,0.017268778472295795,0.011018116325881979,0.6603174603174603,38.23764728795403,1.0,0.010729967940524781,2.893087240946045,0.9903732196801744,0.48036951501154734,0.6543484808038494,0.6491771350667056
8,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),0.07071723699544444,0.046774022671893206,0.010276512342409153,0.14531835205992508,3.106817497380822,1.0,0.00696878269589059,1.115299456383017,0.7297318341794624,0.0958498023715415,0.10337981940468273,0.18251195066189912
9,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.046774022671893206,0.07071723699544444,0.010276512342409153,0.21970554926387317,3.1068174973808222,1.0,0.00696878269589059,1.190938577261281,0.7114023654909869,0.0958498023715415,0.1603261334437324,0.18251195066189912
